一下	yi xx
壬戌	rf xu
壬申	rf uf
壬辰	rf if
壮士	vl ui
壮实	vl ui
壮志	vl vi
壮歌	vl ge
声势	ug ui
声名大振	ug mk da vf
声名大振	ug mk dd vf
声威	ug ww
声学	ug xt
声张	ug vh
声息	ug xi
声振寰宇	ug vf hr yu
声浪	ug lh
声称	ug ig
声符	ug fu
声誉	ug yu
声誉鹊起	ug yu qt qi
声速	ug su
处世	iu ui
处事	iu ui
处决	iu jt
处境	iu jk
处女作	iu nv zo
处女地	iu nv di
处方	iu fh
处理机	iu li ji
处罚	iu fa
备件	bw jm
备忘录	bw wh lu
备料	bw ln
备考	bw kc
备耕	bw gg
备课	bw ke
备足	bw zu
备齐	bw qi
复信	fu xb
复写	fu xp
复函	fu hj
复刊	fu kj
复制品	fu vi pb
复印机	fu yb ji
复合	fu he
复员	fu yr
复审	fu uf
复旦	fu dj
复杂性	fu za xk
复查	fu ia
复核	fu he
复种	fu vs
复线	fu xm
复议	fu yi
复试	fu ui
复读	fu du
复赛	fu sd
复辟	fu bi
复述	fu uu
夏令营	xx lk yk
夏利	xx li
夏夜	xx ye
夏收	xx uz
夏新	xx xb
夏种	xx vs
夏粮	xx ll
夏雨雨人	xx yu yu rf
夕阳西斜	xi yh xi xp
外乡	wd xl
外乡人	wd xl rf
外交部	wd jn bu
外伤	wd uh
外侮	wd wu
外向型	wd xl xk
外地人	wd di rf
外埠	wd bu
外带	wd dd
外敌	wd di
外敷	wd fu
外来人	wd ld rf
外来户	wd ld hu
外柔中刚	wd rz vs gh
外母	wd mu
外汇券	wd hv qr
外甥	wd ug
外相	wd xl
外祖父	wd zu fu
外线	wd xm
外经	wd jk
外貌	wd mc
外逃	wd tc
外遇	wd yu
多一尐	do yi di
多于	do yu
多价	do jp
多价	do jx
多位	do ww
多办	do bj
多只香炉多只鬼	do vi xl lu do vi gv
多哥	do ge
多国	do go
多多少少	do do uc uc
多多益善	do do yi uj
多媒体	do mw ti
多得	do de
多得	do dw
多方面	do fh mm
多样化	do yh hx
多样性	do yh xk
多民族	do mb zu
多种多样	do vs do yh
多糖	do th
多级	do ji
多边	do bm
多面手	do mm uz
夜冷	ye lg
夜宿	ye su
夜市	ye ui
夜幕低垂	ye mu di iv
夜总会	ye zs hv
夜战	ye vj
夜明珠	ye mk vu
夜晚黑	ye wj hw
夜景	ye jk
夜校	ye xn
夜游	ye yz
夜色柔美	ye se rz mw
夜色柔美	ye ud rz mw
夜色迷人	ye se mi rf
夜色迷人	ye ud mi rf
夜莺	ye yk
夜麻麻	ye ma ma
够照	gz vc
够皮	gz pi
够胆死	gz dj si
大一统	da yi ts
大专生	da vr ug
大业	da ye
大个仔	da ge zd
大个仔	da ge zi
大个仔	dd ge zd
大个仔	dd ge zi
大为	da ww
大举	da ju
大义	da yi
大乡里	da xl li
大乡里	dd xl li
大书特书	da uu te uu
大事记	da ui ji
大人	da rf
大人大姐	da rf da jp
大人大姐	da rf dd jp
大人大姐	dd rf da jp
大人大姐	dd rf dd jp
大件事	da jm ui
大件事	dd jm ui
大任	da rf
大任	dd rf
大伙	da ho
大会堂	da hv th
大作家	da zo jx
大使	da ui
大使馆	da ui gr
大侠	da xx
大便	da bm
大信封	da xb fg
大信封	dd xb fg
大做文章	da zo wf vh
大光灯	da gl dg
大光灯	dd gl dg
大全	da qr
大关	da gr
大兴	da xk
大兵	da bk
大兵团	da bk tr
大刀	da dc
大别山	da bp uj
大剂	da ji
大剂	dd ji
大副	da fu
大力	da li
大力士	da li ui
大办	da bj
大动脉	da ds md
大势	da ui
大半	da bj
大厅	da tk
大叔	da uu
大只佬	da vi lc
大只佬	dd vi lc
大只讲	da vi jl
大只讲	dd vi jl
大只骡骡	da vi lo lo
大只骡骡	dd vi lo lo
大号	da hc
大吃大喝	da ii da he
大同	da ts
大后方	da hz fh
大后日	da hz ri
大后日	dd hz ri
大唐	da th
大唐	dd th
大唔透	da wu tz
大唔透	dd wu tz
大喊十	da hj ui
大喊十	dd hj ui
大喜事	da xi ui
大嘥	da sd
大嘥	dd sd
大器	da qi
大团圆	da tr yr
大团结	da tr jp
大坝	da ba
大型机	da xk ji
大声公	da ug gs
大声公	dd ug gs
大处着眼	da iu vc yj
大处着眼	da iu ve yj
大处着眼	da iu vo yj
大处着眼	dd iu vc yj
大处着眼	dd iu ve yj
大处着眼	dd iu vo yj
大多数	da do uu
大大小小	da da xn xn
大大小小	da dd xn xn
大大小小	dd da xn xn
大大小小	dd dd xn xn
大大话话	da da hx hx
大大话话	da dd hx hx
大大话话	dd da hx hx
大大话话	dd dd hx hx
大头佛	da tz fo
大头佛	da tz fu
大头佛	dd tz fo
大头佛	dd tz fu
大头虾	da tz xx
大头虾	dd tz xx
大奖赛	da jl sd
大好山河	da hc uj he
大好山河	dd hc uj he
大妈	da ma
大妗姐	da jb jp
大妗姐	dd jb jp
大姐	da jp
大姐仔	da jp zd
大姐仔	da jp zi
大姐仔	dd jp zd
大姐仔	dd jp zi
大姑娘	da gu nl
大婆	da po
大婆	dd po
大嫂	da sc
大字	da zi
大字报	da zi bc
大客车	da ke ie
大家庭	da jx tk
大寨	da vd
大将	da jl
大小便	da xn bm
大展	da vj
大师	da ui
大师傅	da ui fu
大帝	da di
大帝	dd di
大幅	da fu
大幅度	da fu du
大干	da gj
大床	da il
大床	dd il
大志	da vi
大懵	da mg
大懵	dd mg
大戏	da xi
大手笔	da uz bi
大打出手	da da iu uz
大抵	da di
大拇指	da mu vi
大拿拿	da na na
大拿拿	dd na na
大捷	da jp
大政	da vg
大敌	da di
大新	da xb
大旱	da hj
大智大勇	da vi da ys
大曲	da qu
大有文章	da yz wf vh
大杀三方	da ua sj fh
大杀三方	dd ua sj fh
大杂院	da za yr
大校	da xn
大梁	da ll
大棒	da bh
大模斯样	da mo si yh
大模斯样	da mu si yh
大模斯样	dd mo si yh
大模斯样	dd mu si yh
大殿	da dm
大气候	da qi hz
大水	da uv
大汉	da hj
大汗淋漓	da hj lb li
大法	da fa
大渡河	da du he
大漠	da mo
大潮	da ic
大炮友	da bc yz
大炮友	da pc yz
大炮友	dd bc yz
大炮友	dd pc yz
大牌档	da pd dh
大牌档	dd pd dh
大猩猩	da xk xk
大班	da bj
大理	da li
大田	da tm
大略	da lt
大癫大废	da dm da fw
大癫大废	da dm dd fw
大癫大废	dd dm da fw
大癫大废	dd dm dd fw
大白	da bd
大白菜	da bd cd
大石责死蟹	da dj ze si xp
大石责死蟹	da ui ze si xp
大石责死蟹	dd dj ze si xp
大石责死蟹	dd ui ze si xp
大破悭囊	da po qm nh
大破悭囊	dd po qm nh
大礼堂	da li th
大祸	da ho
大禹	da yu
大禹	dd yu
大笑	da xn
大笑姑婆	da xn gu po
大笑姑婆	dd xn gu po
大粒佬	da li lc
大粒佬	dd li lc
大细超	da xi ic
大细超	dd xi ic
大老倌	da lc gr
大老倌	dd lc gr
大耳窿	da er ls
大耳窿	dd er ls
大肆	da si
大脚	da jn
大腕	da wj
大自然	da zi rj
大花大朵	da hx da do
大花大朵	da hx dd do
大花大朵	dd hx da do
大花大朵	dd hx dd do
大花筒	da hx ts
大花筒	dd hx ts
大茶饭	da ia fj
大茶饭	dd ia fj
大菜	da cd
大葵扇	da kv uj
大葵扇	dd kv uj
大蒜	da sr
大虾	da xx
大衣	da yi
大西北	da xi bw
大要	da yc
大观	da gr
大规模	da gv mo
大觉瞓	da jn ff
大觉瞓	da jn xy
大觉瞓	da jt ff
大觉瞓	da jt xy
大觉瞓	dd jn ff
大觉瞓	dd jn xy
大觉瞓	dd jt ff
大觉瞓	dd jt xy
大计	da ji
大豆芽	da dz ya
大豆芽	dd dz ya
大败	da bd
大跃进	da yt jb
大路	da lu
大路货	da lu ho
大踏步	da ta bu
大轰大嗡	da hs da wg
大过	da go
大道	da dc
大部	da bu
大部分	da bu ff
大都	da du
大都	da dz
大钱	da qm
大镬饭	da ho fj
大镬饭	dd ho fj
大阪	da bj
大阵仗	da vf vh
大阵仗	dd vf vh
大陆架	da lu jx
大雅	da ya
大雨	da yu
大雨滂沱	da yu ph to
大雨滂沱	dd yu ph to
大雪	da xt
大雪封山	da xt fg uj
大雪封山	dd xt fg uj
大雪纷飞	da xt ff fw
大雾	da wu
大革命	da ge mk
大飞	da fw
大飞	dd fw
大食会	da si hv
大食会	da si kk
大食会	da ui hv
大食会	da ui kk
大食会	da yi hv
大食会	da yi kk
大食会	dd si hv
大食会	dd si kk
大食会	dd ui hv
大食会	dd ui kk
大食会	dd yi hv
大食会	dd yi kk
大食懒	da si lj
大食懒	da ui lj
大食懒	da yi lj
大食懒	dd si lj
大食懒	dd ui lj
大食懒	dd yi lj
大饼	da bk
大髀	da bi
大髀	dd bi
大鱼	da yu
大鱼	dd yu
大鸡唔食细米	da ji wu si xi mi
大鸡唔食细米	da ji wu ui xi mi
大鸡唔食细米	da ji wu yi xi mi
大鸡唔食细米	dd ji wu si xi mi
大鸡唔食细米	dd ji wu ui xi mi
大鸡唔食细米	dd ji wu yi xi mi
大麦	da md
大麻	da ma
大鼓	da gu
天上人间	tm uh rf jm
天不怕	tm bu pa
天主	tm vu
天井	tm jk
天仙	tm xm
天仙局	tm xm ju
天公	tm gs
天兵天将	tm bk tm jl
天南海北	tm nj hd bw
天命	tm mk
天堂尿壶全神贯注	tm th nn hu qr uf gr vu
天堑	tm qm
天外有天	tm wd yz tm
天女散花	tm nv sj hx
天崩地塌	tm bg de ta
天崩地塌	tm bg di ta
天府	tm fu
天敌	tm di
天数	tm uu
天文学	tm wf xt
天文馆	tm wf gr
天时	tm ui
天时冷	tm ui lg
天时暑热	tm ui uu re
天时热	tm ui re
天极	tm ji
天梯	tm ti
天棚	tm pg
天津市	tm jb ui
天涯比邻	tm ya bi lb
天生天养	tm ug tm yh
天穹	tm qs
天网恢恢疏而不漏	tm wh hv hv uu er bu lz
天职	tm vi
天脚底	tm jn di
天象	tm xl
天资	tm zi
天遂人愿	tm sv rf yr
天际	tm ji
天险	tm xm
天马行空	tm ma xk ks
天高云淡	tm gc yy dj
太原	td yr
太原市	td yr ui
太和	td he
太和	td ho
太和	td hu
太子爷	td zi ye
太守	td uz
太平天国	td pk tm go
太平绅士	td pk uf ui
太庙	td mn
太行山	td hh uj
夫子	fu zi
央视	yh ui
失业	ui ye
失主	ui vu
失事	ui ui
失利	ui li
失地	ui di
失声	ui ug
失学	ui xt
失守	ui uz
失实	ui ui
失常	ui ih
失态	ui td
失惊无神	ui jk mo uf
失惊无神	ui jk wu uf
失意	ui yi
失掉	ui dn
失控	ui ks
失散	ui sj
失明	ui mk
失火	ui ho
失物	ui wu
失真	ui vf
失礼	ui li
失禁	ui jb
失职	ui vi
失聪	ui cs
失血	ui xt
失觉	ui jn
失觉	ui jt
失语	ui yu
失误	ui wu
失足	ui zu
失身	ui uf
失重	ui vs
失魂鱼	ui hy yu
头人	tz rf
头啖汤	tz dj th
头壳顶	tz ke dk
头壳顶	tz qn dk
头大冇脑	tz da mc nc
头大冇脑	tz dd mc nc
头头	tz tz
头子	tz zi
头崩额裂	tz bg ee lp
头拧拧	tz nk nk
头槌	tz iv
头球	tz qq
头盔	tz kv
头盖骨	tz gd gu
头羊	tz yh
头耷耷	tz da da
头蜡	tz la
头赤	tz ii
头雁	tz yj
头面人物	tz mm rf wu
头颅	tz lu
头饰	tz ui
夸父追日	kx fu vv ri
夹份	ga ff
夹份	jx ff
夹击	jx ji
夹子	jx zi
夹手夹脚	ga uz ga jn
夹手夹脚	ga uz jx jn
夹手夹脚	jx uz ga jn
夹手夹脚	jx uz jx jn
夹板	jx bj
夹硬	ga yk
夹硬	jx yk
夹道	jx dc
夺魁	do kv
奀瘦	en uz
奀瘦	nf uz
奀袅鬼命	en nn gv mk
奀袅鬼命	nf nn gv mk
奀雌雌	en ci ci
奀雌雌	nf ci ci
奄列	yj lp
奄尖	yj jm
奇丽	qi li
奇事	qi ui
奇兵	qi bk
奇功	qi gs
奇境	ji jk
奇境	qi jk
奇峰	qi fg
奇巧	qi qn
奇才	qi cd
奇景	qi jk
奇瑞	ji rv
奇瑞	qi rv
奇花异果	ji hx yi go
奇花异果	qi hx yi go
奇袭	qi xi
奇观	qi gr
奇遇	qi yu
奇闻	qi wf
奉之	fg vi
奉命唯谨	fg mk ww jb
奉旨成婚	fg vi ig hy
奋力	ff li
奋发	ff fa
奋发有为	ff fa yz ww
奋发蹈厉	ff fa dc li
奋笔疾书	ff bi ji uu
奋起	ff qi
奏折	zz ve
奏鸣曲	zz mk qu
契弟	qi di
契弟	xp di
契机	qi ji
契税	qi uv
契约	qi yt
契阔	qi ko
契阔	xp ko
奔扑	bf pu
奔袭	bf xi
奔走相告	bf zz xl gc
奖学金	jl xt jb
奖罚分明	jl fa ff mk
套印	tc yb
套房	tc fh
套种	tc vs
套话	tc hx
套购	tc gz
套近乎	tc jb hu
奠基	dm ji
奢侈品	ue ii pb
奥美	ao mw
女中音	nv vs yb
女主人	nv vu rf
女仔之家	nv zd vi jx
女仔之家	nv zi vi jx
女娲	nv wa
女式	nv ui
女星	nv xk
女界	nv jp
女真	nv vf
女童院	nv ts yr
女高音	nv gc yb
奴隶	nu li
奴隶制	nu li vi
奴隶社会	nu li ue hv
奶制品	nd vi pb
奸商	jm uh
奸猫	jm mc
奸赖	jm ld
她们	ta mf
好不	hc bu
好人事	hc rf ui
好人好事	hc rf hc ui
好使	hc ui
好受	hc uz
好嘅	hc ge
好嘢	hc ye
好地地	hc de de
好地地	hc de di
好地地	hc di de
好地地	hc di di
好处费	hc iu fw
好多时	hc do ui
好夹	hc ga
好夹	hc jx
好好先生	hc hc xm ug
好容易	hc rs yi
好强	hc ql
好心机	hc xb ji
好找	hc vc
好日子	hc ri zi
好消息	hc xn xi
好眼界	hc yj jp
好端端	hc dr dr
好翻	hc fj
好胜	hc ug
好话	hc hx
好象	hc xl
好问则裕	hc wf ze yu
好闲	hc xm
如临探渊	ru lb tj yr
如常	ru ih
如故	ru gu
如醉如痴	ru zv ru ii
妄言	wh yj
妇人	fu rf
妇幼	fu yz
妈妈声	ma ma ug
妊娠	rf uf
妒嫉	du ji
妓院	ji yr
妖冶	yc ye
妙曼	mn mj
妲己	da ji
妹钉	mw dk
姊夫	zi fu
始于	ui yu
始发	ui fa
始发站	ui fa vj
始建	ui jm
始祖	ui zu
始终不渝	ui vs bu yu
姐手姐脚	jp uz jp jn
姑勿论	gu wu ly
姑息	gu xi
姑爷仔	gu ye zd
姑爷仔	gu ye zi
姓氏	xk ui
姓赖	xk ld
委任	ww rf
委员会	ww yr hv
委员长	ww yr vh
委实	ww ui
委托书	ww to uu
委托人	ww to rf
委曲	ww qu
委蛇	ww ue
姗姗	uj uj
姗姗来迟	uj uj ld ii
姚明	yc mk
姜酌	jl vo
姜醋	jl cu
姣尸扽笃	jn ui df du
姣尸扽笃	xn ui df du
姨仔	yi zd
姨仔	yi zi
姨甥	yi ug
姻娅	yb ya
姽婳	gv hx
姿容	zi rs
威化饼	ww hx bk
威吓	ww he
威士	ww ui
威士忌	ww ui ji
威廉	ww lm
威望素着	ww wh su vc
威望素着	ww wh su ve
威望素着	ww wh su vo
威海	ww hd
威盛	ww ig
威盛	ww ug
威逼	ww bi
威震天下	ww vf tm xx
威风	ww fg
威风八面	ww fg ba mm
娃子	wa zi
娇小	jn xn
娇气	jn qi
娇艳	jn yj
娓娓	ww ww
娘子军	nl zi jy
娼妓	ih ji
婉娩	wj mm
婉言	wj yj
婕妤	jp yu
婚丧嫁娶	hy sh jx qu
婚姻法	hy yb fa
婞直	xk vi
婵媛	ij yr
婵连	ij lm
媒人	mw rf
媞媞	ti ti
嫁人	jx rf
嫁妆	jx vl
嫁衣	jx yi
嫖赌饮吹	pn du yb iv
嫡系	di xi
嬉笑	xi xn
嬉闹	xi nc
嬲爆爆	nn bc bc
子公司	zi gs si
子午线	zi wu xm
子姜	zi jl
子弟兵	zi di bk
子母床	zi mu il
子系统	zi xi ts
子集	zi ji
孑孓	jp jt
孔府	ks fu
孔隙	ks xi
孔雀	ks qt
孕期	yy qi
孖公仔	ma gs zd
孖公仔	ma gs zi
孖公仔	zi gs zd
孖公仔	zi gs zi
孖女	ma nv
孖女	zi nv
孖烟通	ma yj ts
孖烟通	zi yj ts
孖生	ma ug
孖生	zi ug
孖辫	ma bm
孖辫	zi bm
孖铺	ma pu
孖铺	zi pu
字句	zi ju
字号	zi hc
字幕	zi mu
字序	zi xu
字形	zi xk
字样	zi yh
字粒	zi li
字花	zi hx
字距	zi ju
字迹	zi ji
字集	zi ji
字音	zi yb
存储器	cy iu qi
存栏	cy lj
存货	cy ho
孙中山	sy vs uj
孙文	sy wf
孙权	sy qr
孙武	sy wu
孙氏	sy ui
孙膑	sy bb
孝子	xn zi
孝心	xn xb
孟加拉国	mg jx la go
孢子	bc zi
季刊	ji kj
季节性	ji jp xk
季风	ji fg
孤云野鹤	gu yy ye he
孤寂	gu ji
孤寡老人	gu gx lc rf
孤拐	gu gk
孤本	gu bf
孤立	gu li
孤身一人	gu uf yi rf
学业	xt ye
学习班	xt xi bj
学分制	xt ff vi
学制	xt vi
学力	xt li
学友	xt yz
学员	xt yr
学堂	xt th
学士	xt ui
学好	xt hc
学子	xt zi
学师仔	xt ui zd
学师仔	xt ui zi
学时	xt ui
学有专长	xt yz vr ih
学有所成	xt yz so ig
学术性	xt uu xk
学术界	xt uu jp
学杂费	xt za fw
学生会	xt ug hv
学生哥	xt ug ge
学生证	xt ug vg
学童	xt ts
学籍	xt ji
学而不倦	xt er bu jr
学贯中西	xt gr vs xi
学部	xt bu
孩子王	hd zi wh
孰不可忍	uu bu ke rf
孳生	zi ug
宁为玉碎不为瓦全	nk ww yu sv bu ww wa qr
宁折不弯	nk ue bu wj
宁折不弯	nk ve bu wj
宅基地	vd ji di
宇宙观	yu vz gr
宇航员	yu hh yr
守军	uz jy
守势	uz ui
守卫	uz ww
守土有责	uz tu yz ze
守备	uz bw
守宫	uz gs
守敌	uz di
守正不阿	uz vg bu aa
守正不阿	uz vg bu ee
守法	uz fa
守经达权	uz jk da qr
守行为	uz hh ww
守行为	uz xk ww
守门员	uz mf yr
安份守己	an ff uz ji
安保	an bc
安内攘外	an nw rh wd
安南	an nj
安士	an ui
安妮	an ni
安徒生	an tu ug
安老院	an lc yr
安腾	an tg
安达	an da
宋庆龄	ss qk lk
宋明理学	ss mk li xt
宋楚瑜	ss iu yu
完好无损	wj hc wu sy
完小	wj xn
完税	wj uv
宏亮	hs ll
宏基	hs ji
宗师	zs ui
宗旨	zs vi
宗法	zs fa
官仔骨骨	gr zd gu gu
官仔骨骨	gr zi gu gu
官吏	gr li
官商	gr uh
官气	gr qi
官渡	gr du
官职	gr vi
官衔	gr xm
宙斯	vz si
定单	dk dj
定单	dk ij
定单	dk uj
定夺	dk do
定局	dk ju
定居点	dk ju dm
定性	dk xk
定晒形	dk ud xk
定理	dk li
定盘星	dk pj xk
定神	dk uf
定级	dk ji
定西	dk xi
定货	dk ho
定购	dk gz
定过抬油	dk go td yz
宜于	yi yu
宜人	yi rf
宜兴	yi xk
宜得	yi de
宜得	yi dw
宜昌	yi ih
宝刀	bc dc
宝剑	bc jm
宝安	bc an
宝岛	bc dc
宝洁	bc jp
宝玉	bc yu
宝珠	bc vu
实业	ui ye
实习生	ui xi ug
实事	ui ui
实例	ui li
实净	ui jk
实名	ui mk
实地	ui di
实处	ui iu
实心	ui xb
实情	ui qk
实打实	ui da ui
实招	ui vc
实效	ui xn
实时	ui ui
实测	ui ce
实牙实齿	ui ya ui ii
实物	ui wu
实用	ui ys
实职	ui vi
实证	ui vg
实达	ui da
实验室	ui yj ui
审判员	uf pj yr
审判庭	uf pj tk
审察	uf ia
审慎	uf uf
审时度势	uf ui do ui
审校	uf jn
审校	uf xn
审稿	uf gc
审美观	uf mw gr
审视	uf ui
客体	ke ti
客座	ke zo
客服	ke fu
客机	ke ji
客流量	ke lq ll
客船	ke ir
客观性	ke gr xk
客货	ke ho
客运站	ke yy vj
宣传员	xr ir yr
宣传品	xr ir pb
宣传画	xr ir hx
宣传部	xr ir bu
宣传队	xr ir dv
宣战	xr vj
宣纸	xr vi
宣统	xr ts
室内乐	ui nw yt
宪兵	xm bk
宪政	xm vg
宪章	xm vh
宫殿	gs dm
宴席	yj xi
宴请	yj qk
家丁	jx dk
家世	jx ui
家中	jx vs
家乡话	jx xl hx
家书	jx uu
家事	jx ui
家什	jx ui
家信	jx xb
家俬	jx si
家务活	jx wu ho
家史	jx ui
家婆	jx po
家嫂	jx sc
家宴	jx yj
家家	jx jx
家小	jx xn
家居	jx ju
家常便饭	jx ih bm fj
家法	jx fa
家访	jx fh
家长制	jx vh vi
家风	jx fg
容光	rs gl
宽余	kr yu
宽大为怀	kr da ww hk
宽打窄用	kr da vd ys
宾妹	bb mw
宿命论	su mk ly
宿将	su jl
宿愿	su yr
宿敌	su di
寂然无声	ji rj mo ug
寂然无声	ji rj wu ug
寄予	ji yu
寄信	ji xb
寄宿	ji su
寄居	ji ju
寄语	ji yu
寅吃卯粮	yb ii mc ll
密不可分	mi bu ke ff
密件	mi jm
密友	mi yz
密密	mi mi
密密匝匝	mi mi za za
密密麻麻	mi mi ma ma
密布	mi bu
密底算盘	mi di sr pj
密植	mi vi
密歇根	mi xp gf
密电	mi dm
密笼	mi ls
密质质	mi vi vi
密闭	mi bi
密集型	mi ji xk
富丽	fu li
富于	fu yu
富人	fu rf
富余	fu yu
富士	fu ui
富士康	fu ui kh
富士通	fu ui ts
富庶	fu uu
富矿	fu kl
富豪	fu hc
富贵浮云	fu gv fu yy
富饶	fu rc
寒冬腊月	hj ds la yt
寒士	hj ui
寒夜	hj ye
寒底	hj di
寒意	hj yi
寒暑	hj uu
寒暑假	hj uu jx
寒背	hj bw
寒花晚节	hj hx wj jp
寒门	hj mf
寒风刺骨	hj fg ci gu
寓于	yu yu
寓意	yu yi
寓言	yu yj
察看	ia kj
寡佬	gx lc
寡母婆	gx mu po
寤寐	wu mw
寥寥	ln ln
寨子	vd zi
寰宇	hr yu
寰球	hr qq
寸心	cy xb
寸步不让	cy bu bu rh
对仗	dv vh
对劲	dv jb
对华	dv hx
对唔住	dv wu vu
对唱	dv ih
对外开放	dv wd kd fh
对打	dv da
对抗赛	dv kh sd
对换	dv hr
对角	dv jn
对讲机	dv jl ji
寻医	xy yi
寻机	xy ji
寻根	xy gf
导出	dc iu
导师	dc ui
导报	dc bc
导火线	dc ho xm
导言	dc yj
寿光	uz gl
寿星公	uz xk gs
寿险	uz xm
封山	fg uj
封山育林	fg uj yu lb
封建主义	fg jm vu yi
封建社会	fg jm ue hv
封豕长蛇	fg ui ih ue
封豕长蛇	fg ui vh ue
封闭式	fg bi ui
射击	ue ji
射程	ue ig
射线	ue xm
将于	jl yu
将伯之助	jl bd vi vu
将伯之助	jl bo vi vu
将士	jl ui
将官	jl gr
将就	jl jq
将才	jl cd
将有	jl yz
将近	jl jb
小两口	xn ll kz
小事	xn ui
小人	xn rf
小人物	xn rf wu
小伙	xn ho
小伙子	xn ho zi
小传	xn vr
小兄弟	xn xs di
小册子	xn ce zi
小刀	xn dc
小分队	xn ff dv
小厣	xn yj
小号	xn hc
小合唱	xn he ih
小名	xn mk
小商品	xn uh pb
小国	xn go
小圈子	xn qr zi
小夜曲	xn ye qu
小字	xn zi
小字辈	xn zi bw
小学生	xn xt ug
小家庭	xn jx tk
小将	xn jl
小小	xn xn
小小说	xn xn uo
小市民	xn ui mb
小康之家	xn kh vi jx
小弟弟	xn di di
小径	xn jk
小心谨慎	xn xb jb uf
小憩	xn qi
小户	xn hu
小数怕长计	xn uu pa ih ji
小数怕长计	xn uu pa vh ji
小日子	xn ri zi
小时	xn ui
小曲	xn qu
小朋友	xn pg yz
小溪	xn xi
小燕子	xn yj zi
小生	xn ug
小生产	xn ug ij
小百货	xn bd ho
小组长	xn zu vh
小结	xn jp
小节	xn jp
小费	xn fw
小资	xn zi
小道	xn dc
小金库	xn jb ku
小钱	xn qm
小雨	xn yu
小雪	xn xt
小青年	xn qk nm
小鞋	xn xp
小题大作	xn ti da zo
少不了	uc bu ln
少不得	uc bu de
少先队	uc xm dv
少先队员	uc xm dv yr
少壮派	uc vl pd
少尉	uc ww
少年宫	uc nm gs
少年犯	uc nm fj
少有	uc yz
尖兵	jm bk
尖刀	jm dc
尖刻	jm ke
尖尖	jm jm
尖端	jm dr
尖笔甩	jm bi uk
尖顶	jm dk
尚书	uh uu
尚属	uh uu
尚属	uh vu
尚方宝剑	uh fh bc jm
尚无	uh mo
尚无	uh wu
尚武	uh wu
尨茸	ls rs
尨茸	mg rs
尨茸	mh rs
尨茸	ph rs
就任	jq rf
就位	jq ww
就势	jq ui
就嚟	jq li
就嚟	jq lw
就学	jq xt
就已	jq yi
就职	jq vi
就脚	jq jn
就说	jq uo
就说	jq uv
就说	jq yt
尸体	ui ti
尸骨	ui gu
尺子	ii zi
尺牍	ii du
尼克松	ni ke ss
尼古丁	ni gu dk
尽人皆知	jb rf jp vi
尽可能	jb ke ng
尽地一煲	jb de yi bc
尽地一煲	jb di yi bc
尽如	jb ru
尽心尽力	jb xb jb li
尽心竭力	jb xb jp li
尽收眼底	jb uz yj di
尽职	jb vi
尾声	ww ug
尾翼	ww yi
尾随	ww sv
尾龙骨	ww ls gu
尿毒症	nn du vg
局外人	ju wd rf
局限性	ju xm xk
层层叠叠	cg cg dp dp
层峦叠嶂	cg lr dp vh
居于	ju yu
居功	ju gs
居士	ju ui
居室	ju ui
居民点	ju mb dm
居留	ju lq
居留权	ju lq qr
居留证	ju lq vg
屈尾十	qu ww ui
屈戌	qu xu
屈节辱命	qu jp ru mk
屈蛇	qu ue
屈质	qu vi
届时	jp ui
屋契	wu qi
屋契	wu xp
屋子	wu zi
屋脊	wu ji
屋角	wu jn
屎坑关刀	ui kg gr dc
屎坑关刀文唔得武唔得	ui kg gr dc wf wu de wu wu de
屎坑关刀文唔得武唔得	ui kg gr dc wf wu de wu wu dw
屎坑关刀文唔得武唔得	ui kg gr dc wf wu dw wu wu de
屎坑关刀文唔得武唔得	ui kg gr dc wf wu dw wu wu dw
屎片	ui pm
屎计	ui ji
屏息	bk xi
屏气	bk qi
屏气敛息	pk qi lm xi
展台	vj td
展室	vj ui
展览会	vj lj hv
展览馆	vj lj gr
展评	vj pk
展销会	vj xn hv
屘二	mi er
屘二	mj er
属实	uu ui
屠宰场	tu zd ih
屠户	tu hu
屯兵	ty bk
山东省	uj ds ug
山中宰相	uj vs zd xl
山乡	uj xl
山冈	uj gh
山势	uj ui
山包	uj bc
山墙	uj ql
山大斩埋有柴	uj da vj md yz id
山大斩埋有柴	uj da vj mj yz id
山大斩埋有柴	uj dd vj md yz id
山大斩埋有柴	uj dd vj mj yz id
山山水水	uj uj uv uv
山明水秀山穷水尽	uj mk uv xq uj qs uv jb
山梁	uj ll
山水画	uj uv hx
山泥倾泻	uj ni qk xp
山洞	uj ds
山海关	uj hd gr
山海经	uj hd jk
山涧	uj jm
山窿	uj ls
山脊	uj ji
山腰	uj yc
山芋	uj yu
山草药噏得就噏	uj cc yc ha de jq ha
山草药噏得就噏	uj cc yc ha de jq xi
山草药噏得就噏	uj cc yc ha dw jq ha
山草药噏得就噏	uj cc yc ha dw jq xi
山草药噏得就噏	uj cc yc xi de jq ha
山草药噏得就噏	uj cc yc xi de jq xi
山草药噏得就噏	uj cc yc xi dw jq ha
山草药噏得就噏	uj cc yc xi dw jq xi
山药蛋	uj yc dj
山西省	uj xi ug
山货	uj ho
山重水复	uj is uv fu
山重水复	uj vs uv fu
山野	uj ye
山陵	uj lk
山高水长	uj gc uv ih
山麓	uj lu
屹立	yi li
岁寒松柏	sv hj ss bd
岁寒松柏	sv hj ss bo
岂止	qi vi
岂非	qi fw
